Specific_hosts,count
Poaceae,27
mosses,20
Eucalyptus,6
Pinaceae,6
Acer,6
ferns,5
Cyperaceae_flowers,5
Cyperaceae_spikelets,5
Eriocaulaceae_ovaries,4
Asteraceae,4
Acacia,3
Pinus,3
Pinaceae_needles,3
Cyperaceae_ovaries,3
Rhododendron,2
Musa,2
Juncaceae,2
Brassicaceae,2
Cyperaceae_leaves,2
Araceae,2
liverworts,2
Cyperaceae,2
bamboo,2
Poaceae_ovaries,2
"Cyperaceae,Juncaceae",2
Shorea,2
Nicotiana,1
Helianthus,1
Korthalsia,1
Lythraceae,1
Camellia,1
Trema,1
Combretum,1
Chromolaena,1
Nerium,1
Mallotus,1
Arbutus,1
Myrrhidendron,1
Rosaceae,1
Burseraceae,1
monocots,1
Saccharum,1
seagrasses,1
Fragaria,1
Vaccinium,1
Sagittaria,1
"liverworts,bryophytes",1
Syzygium,1
Quercus,1
Erysiphaceae,1
Thalictrum,1
Selaginella,1
Aesculus,1
Banksia,1
Fallopia,1
Erythroxylum,1
scale_insects,1
Kingia,1
Juglans,1
mites,1
"Alismataceae,Pontederiaceae",1
Arecaceae,1
Concolvulaceae,1
Juglandaceae,1
"Poaceae,Cyperaceae",1
Liliaceae,1
Albizia,1
Agavaceae,1
Bromeliaceae,1
"Arecaceae,Poaceae",1
Taxus,1
Theobroma,1
liverwort_perianths,1
moss_perianths,1
Oryza_flowers,1
Liliaceae_leaves,1
Ruppiaceae,1
Oxalidaceae,1
Araliaceae,1
Vitaceae_witchesbrooms,1
Fabaceae,1
Hyacinthaceae,1
Osmundaceae_leaves,1
Euphorbiaceae_seeds,1
Tiliaceae_stems,1
Poaceae_sori,1
Aixoaceae,1
"Poaceae,bamboo",1
Centrolepidaceae_friots,1
Sterculiaceae_flowers,1
Dracaenaceae,1
Polygonaceae,1
Aristidia_ovaries,1
Cyperaceae_culms,1
Bromeliaceae_flowers,1
Andropogoneae_ovaries,1
Trodia_culms,1
Schoenus_flowers,1
Poaceae_flowers,1
Poaceae_leaves,1
Poaceae_spikes,1
Restionaceae_fruits,1
Restionaceae,1
Leptodesmia_congesta,1
Elodea,1
Lactuca,1
Impatiens,1
